nctid,status,why_stop,label,phase,diseases,icdcodes,drugs,smiless,criteria
NCT00688740,completed,,1,phase 3,['breast cancer'],"[""['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']""]","['docetaxel', '5-fluorouracil', 'doxorubicin', 'cyclophosphamide']","['[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1', 'FC1=CNC(=O)NC1=O', 'COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O', 'ClCCN(CCCl)P1(=O)NCCCO1']","[0.15419094172130124, -0.07272027545282218, -0.01319652878212434, 0.07158809238274726, -0.021280734003826886, 0.004009712767437673, 0.06405785332599141, 0.052818333502111736, 0.008371402180426129, 0.04580184121309533, 0.007964974693393058, 0.03838759628269815, -0.11595270188494752, 0.09200822053934939, 0.018372226064925178, 0.07761044669530623, -0.03171820156105942, 0.047952220319821895, -0.1349879823870125, 0.03970055782397251, 0.09646358791860772, 0.07480414122827858, -0.16848534371190324, 0.07332324738361282, 0.11159153718814785, -0.03705098696672076, 0.04868139819084226, 0.025711756873895257, -0.06196215179446178, -0.10767238327977754, -0.03898355516887623, -0.030654845353770804, -0.05805488387572012, -0.03091380887672416, -0.03712870561499714, 0.035536243581167935, -0.007733384941594879, -0.045001466997078424, 0.01447862880845, 0.06835794541344466, -0.00688027358982615, -0.029079998320399304, 0.02004890976482427, 0.005259443991842159, 0.058500854108229604, -0.03035990055640798, -0.05120769202251853, -0.0057831069901745575, 0.013495530146424729, -0.025489133908142957]"
NCT00690443,completed,,1,phase 2,['hypercholesterolemia'],"[""['E78.01', 'E78.00', 'Z83.42']""]","['atorvastatin', 'aegr-733']","['CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1', 'FC(F)(F)CNC(=O)C1(CCCCN2CCC(CC2)NC(=O)C2=C(C=CC=C2)C2=CC=C(C=C2)C(F)(F)F)C2=CC=CC=C2C2=CC=CC=C12']","[-0.07132737465114124, -0.07576380612995062, -0.026962987346121636, -0.19649673913519083, -0.006420078003227518, 0.044806439958957944, -0.1156726734555602, 0.03769427138046518, 0.04581847105922139, -0.022398528658215046, 0.05451024583065604, 0.05018640338446799, 0.06037127589271518, 0.034653504409697854, -0.013200213457665172, 0.01079234067226875, -0.012759472766734786, -0.05517976938453197, -0.11611535326525282, -0.04173190282944149, -0.09022616287369986, 0.01941042692280217, 0.008879091107223794, 0.04718238069734461, 0.12078549821990012, 0.2457874191831086, -0.0034897386324830764, -0.022069126231814996, 0.06993701449739793, -0.002347074535055147, 0.03999917366531587, -0.03222528310980885, -0.06952358125257914, 0.099197099051193, 0.02477097833252769, 0.049429289867774374, 0.03165916024821584, -0.006242510906368054, 0.012538470176065237, 0.02495973417764632, 0.06374409246939211, -0.04794374766595557, 0.0514349901097606, -0.037193345627240255, 0.0010580836792269718, 0.02658228745219952, -0.0652260807004692, -0.009669746593345694, 0.010780942025807592, 0.0061779488037336594]"
NCT00690820,completed,,1,phase 3,"['cystic fibrosis', 'pancreatic exocrine insufficiency']","[""['E84.9', 'Z14.1', 'E84.0', 'E84.11', 'E84.8', 'E84.19', 'P09.4']"", ""['K86.81']""]","['pancrelipase delayed release', 'placebo comparator']",['[Na+].[Cl-]'],"[-0.09110524466325011, -0.018304035514366476, -0.018507510570563084, -0.016735706473291815, -0.02658017614789031, -0.0061133276057781984, 0.015515181765865632, -0.032124716073311965, -0.014609976484340892, 0.02589286567044947, 0.010787215254801209, -0.01578508714478849, -0.009010709741002553, 0.0005394362328203284, -0.04057339456989529, 0.0019797653770591396, -0.0015267684627148254, -0.03125493647451289, 0.011725903040349348, 0.017433137946591536, 0.012729909414125684, -0.010633188739769688, 0.0057606597643719325, -0.008379417389747464, 0.0014944064789790541, -0.01805266339585515, -0.02147001620527924, -0.031301878295654506, 0.011656167487325335, 0.0017497270975382969, 0.001583066720159796, 0.01717988279179315, 0.008792515403351363, 0.0167068896985545, -0.010492991400778822, -0.04701760690946875, 0.018080072177395854, -0.00055144159676536, 0.0021668362364331345, -0.0011120146344023695, -0.020076550388847064, -0.04646083765227812, -0.01824029807596668, 0.00696271504521071, -0.017232694527451357, 0.03031872270812757, 0.0025374422576624283, -0.004943322290581979, -0.0037017966711191284, -0.030438199637672053]"
NCT00690898,completed,,0,phase 3,['acromegaly'],"[""['E22.0']""]",['lanreotide autogel 120 mg'],['[H]N([H])CCCCC1N([H])C(=O)C(CC2=CN([H])C3=CC=CC=C23)N([H])C(=O)C(CC2=CC=C(O)C=C2)N([H])C(=O)C(CSSCC(N([H])C(=O)C(N([H])C1=O)C(C)C)C(=O)N([H])C(C(C)O)C(=O)N([H])[H])N([H])C(=O)C(CC1=CC2=CC=CC=C2C=C1)N([H])[H]'],"[-0.05408244652337625, 0.0945957268862875, 0.06910454736110516, 0.04888001547516864, 0.00377337411908054, -0.09555096162241497, 0.04385130619344799, -0.16343642970039068, 0.009830129108526332, 0.2739337411816338, 0.28042130007056765, 0.07498702568860362, 0.011135875184110522, 0.002552660152861419, 0.13911230249502465, 0.03812603541881937, 0.061108004384880246, 0.027375982197570918, 0.08453500637628139, 0.0008288804174646752, -0.014976299339365857, 0.012251603594758048, 0.05040312944646599, 0.03463973094615239, 0.02446512748895724, 0.022051767086308884, 0.006534746374980735, -0.02546085619759896, 0.03543124923681686, -0.019933830453200095, -0.01904349777788051, -0.020341526716026258, -0.015951971305584168, -0.009923402754066111, -0.0014348278293257078, 0.009137323254821954, -0.005018853408279766, -0.0020132138698693114, -0.0263055946059223, -0.0008839241086856982, 0.017595379662566836, 0.02564234412749116, 0.0035860642884157023, -0.030784202518741588, 0.012088994658881812, 0.009581036744038648, 0.03516236845451474, 0.011565398272397952, 0.030403981624954973, 0.024565557379351545]"
NCT00691145,completed,,1,phase 3,"['dermatitis, atopic']","[""['L20.89', 'L20.9']""]",['tacrolimus ointment'],['CO[C@@H]1C[C@@H](CC[C@H]1O)\\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\\C(C)=C\\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC'],"[-0.02653951071873657, -0.0250362347569479, 0.06408540979042707, 0.029502442113844618, 0.009542078043169411, -0.05945258758684942, 0.005066469563279027, -0.14720742374320303, 0.01955143676495046, 0.20348500203824438, 0.30697495189118684, 0.006479496148429234, -0.01411945645780357, 0.03599178690032822, 0.1629795987847298, 0.043094145281226834, 0.13095131164610144, -0.00798463201469455, 0.09606047732032807, -0.028329996732594086, -0.0037433312649777896, 0.008525404969635894, 0.033483364556815734, 0.0323167215210101, -0.011203908225186366, 0.024659257153390145, -0.02760088145353472, -0.03172910052899715, -0.047558076133451276, -0.009928449357806294, -0.008340593262117483, -0.012265808426548997, 0.0004676532145992653, -0.013990281471085548, -0.018578690866729936, 0.003366663113608884, -0.032219224851731953, 0.01418225765132768, -0.012337115793981397, -0.005754852666815474, -0.019199530090616222, 0.021771255429242124, -0.0030821734034442044, -0.00996077117253646, 0.014585747112217318, 0.0375437438050442, -0.019236804533308158, 0.000854213961411572, 0.015627614263634515, 0.042073019835852474]"
NCT00696631,terminated,"
    terminated as the active treatment was associated with an increased hazard
  ",0,phase 3,['congestive heart failure'],"[""['I50.20', 'I50.21', 'I50.22', 'I50.30', 'I50.31', 'I50.32', 'I50.40']""]","['dronedarone (sr33589)', 'placebo']","['CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2', 'CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O']","[-0.046456348016359596, 0.002380928991605713, 0.0062708058590376856, -0.14570592857902173, -0.0027174159730410734, -0.02907881108409014, 0.022074327809829267, 0.09591841446446045, 0.04762093779807273, 0.045083535005109296, 0.0398027392826969, -0.10666949936999763, 0.0577934797982698, -0.056292775325196484, 0.03025501238113996, -0.029448311838633202, 0.07581619630064988, -0.011672815489717778, 0.0015445942616418723, -0.02118401997547608, 0.08151625554678048, -0.009209415072199844, -0.03639244832450187, -0.10562468679672225, -0.018091272933196654, -0.0645453682518684, -0.0029760039158236258, -0.07602192920404267, -0.06341732042242199, 0.04230146156474683, -0.019324971723367508, 0.023183113079560176, -0.17545689355945027, 0.00574008479672899, 0.07417807891705037, 0.016728396204824338, -0.04464283039153825, -0.08196343815270728, 0.004836166329470164, -0.01619705561442025, 0.10568652199479826, -0.061554744272950324, -0.025667083380111172, -0.016624453031180826, -0.0002633583577036955, -0.02557078687278578, -0.02180263389482827, -0.0072155441207717285, -0.013135760788809814, 0.017096865191115078]"
NCT00698581,terminated,"
    an interim analysis revealed the study was unlikely to attain a positive outcome for the
    efficacy analysis. no safety concerns were detected.
  ",0,phase 3,['epilepsy'],"[""['G40.803', 'G40.804', 'G40.911', 'G40.919', 'G40.B11', 'G40.B19', 'G40.801']""]","['brivaracetam', 'brivaracetam']","['CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O)C1', 'CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O)C1']","[-0.17113748827257136, -0.049795739527211086, -0.05695102973528362, 0.06571930832563422, 0.033337950171647326, 0.15894604378354021, -0.026055933472369584, 0.10588350007140084, -0.1902588254454482, -0.05078584298522075, 0.03652734118976882, 0.04260544538656329, 0.06638384058971832, 0.011484279341798222, 0.06373383355188687, 0.0023819354321741454, 0.07439891852622633, -0.01729172054522992, -0.010802323206695382, 0.00839722109161138, 0.03699987388357463, -0.009300694892366096, 0.04144048412708253, -0.017297438801914207, -0.016506261748510342, 0.0009249762618374346, -0.002347977560753744, 0.01835030996844638, -0.006045284620054396, -0.012867319112255656, 0.08401693677378061, -0.030378048387476764, 0.02264191304706531, -0.005638519340398206, -0.08516091429411361, -0.007110731778186555, 0.00018590092295615556, 0.07836120347385753, 0.05581351131502854, 0.023596789624659213, 0.03135718204169114, 0.030060897531208598, 0.01857064008955349, 0.09344856767235588, 0.06887671954882171, -0.07660372257226508, 0.0158302055672587, -0.026727115296088566, -0.04049996878065441, -0.07993052989865193]"
NCT00698815,completed,,0,phase 2,"['recurrent non-small cell lung carcinoma', 'stage iiib non-small cell lung cancer ajcc v7', 'stage iv non-small cell lung cancer ajcc v7']","[""['D02.20', 'D02.21', 'D02.22']"", ""['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']""]","['pemetrexed disodium', 'sunitinib malate']","['[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(CCC2=CNC3=C2C(O)=NC(=N)N3)C=C1)C(O)=O', 'CCN(CC)CCNC(=O)C1=C(C)NC(\\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C']","[0.2813964171270629, -0.014854544982098514, 0.047193489202000456, -0.01995110254955728, 0.045750836073009546, 0.010624946287275328, 0.05545752592938469, 0.1120741867886067, 0.015006122548734398, -0.011449025164588771, -0.05003195735315687, -0.024941566014139577, 0.02332167231192008, -0.055280583192548784, 0.021134990446943717, 0.024293281111562846, 0.04668320761616123, -0.003695110946312928, 0.03148540449073027, -0.06398029767950718, 0.019808727380476794, -0.019462496805678717, 0.05355709390953996, 0.08938803864976802, -0.05219632143556761, 0.03410626567448425, -0.0004611086872398813, 0.018736833388833085, 0.02775520731743002, -0.011132668138672659, -0.004876595860915503, -0.0024663147667298236, -0.03777669664652168, 0.0383981311882123, 0.018361842193631125, -0.0680732015621369, 0.04772736793225375, -0.007607758605282011, 0.1364665813495946, -0.07552875764991837, 0.024131479737311636, -0.08388046997276197, 0.04796005501130912, -0.02084031391055091, -0.022350011219415048, -0.0013359959355586707, 0.01361738632136598, 0.001873221212011468, 0.0012784740245275488, -0.03142134562590145]"
NCT00699517,completed,,0,phase 3,['sarcoma'],"[""['C96.A', 'C46.9', 'C96.22', 'C46.0', 'C46.2', 'C92.31', 'C92.32']""]","['ombrabulin (ave8062)', 'placebo']","['COC1=CC=C(\\C=C/C2=CC(OC)=C(OC)C(OC)=C2)C=C1NC(=O)[C@@H](N)CO', 'CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O']","[0.08300203279766472, -0.10841909673104153, -0.05379134751064747, -0.012775035671262609, 0.004008189879281762, -0.001828638107377515, 0.0583718219413963, 0.0244760318884426, 0.0015352156184809704, 0.013499161146397659, 0.020990918803290674, 0.05475870645847505, -0.039449694513238924, 0.014342649162165008, 0.029817452002550836, -0.0027549424994057687, 0.006790270161910425, -0.016459644058880014, 0.026385280067476202, -0.02100684046440467, 0.00111782047210804, -0.0025363782438422625, 0.007463524889023608, -0.04206245895978107, -0.02758192751951416, 0.003227440799190589, 0.01808557724631224, -0.02549287398418366, -0.048573437764844164, 0.0025137186772589844, 0.07947717183545369, -0.04522877164377653, -0.0004135384695034716, 0.033135123301064454, 0.06451590709698085, 0.020783064473423495, -0.004659593312429332, -0.08903440008898306, -0.01900435749008177, 0.028778094130136177, 0.06552155418549087, 0.011546405950290849, -0.03395140029926952, 0.01417473553055453, -0.021704041789707067, -0.010044909205900208, -0.024520700718780097, -0.05133463536115296, -0.03002998476391323, -0.026869632733205563]"
NCT00700570,completed,,1,phase 2,['colorectal cancer'],"[""['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']""]","['bevacizumab [avastin]', 'capecitabine [xeloda]', 'oxaliplatin']","['[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1', 'CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O', '[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1']","[0.08212573420221933, -0.09255844545998301, -0.06314750584398024, 0.0785684460431916, -0.0812279608886364, -0.003952146577019762, 0.08798866301431026, 0.11498010736312833, 0.019192206637797915, 0.010592143801532089, -0.0015743146564405244, -0.018459930161264515, -0.0757547573152316, -0.01604159202829698, -0.02189268297111908, 0.022926058568704076, -0.005543759342983524, 0.014164878081504429, -0.023686862610169796, 0.0016783312241294146, -0.025115540367039824, -0.02761758705594248, 0.0332253978236058, 0.033800862962547994, -0.019875102425457793, 0.05668976627481762, -0.0047001570987141444, -0.04783658442000493, 0.05818949292530377, -0.03513877009554298, 0.05223035746363448, -0.014835091889196295, 0.02896565280784267, -0.014806994970605359, -0.05631101844807299, 0.004120385764387564, 0.002000963307307757, -0.02371278370623905, -0.019578880180983176, -0.017894540451941762, 0.0032641264739349967, 0.03418055802483036, 0.0021976126094127167, -0.031653501970505316, -0.06285658650406349, -0.031323046206258746, 0.030360093560160083, -0.01668814262526828, 0.04094683362612672, 0.05159592392659188]"
NCT00700817,completed,,1,phase 3,"['diabetes', 'diabetes mellitus, type 2']","[""['E23.2', 'N25.1', 'P70.2', 'O24.92', 'Z83.3', 'Z86.32', 'E10.65']"", ""['E11.65', 'E11.9', 'E11.21', 'E11.36', 'E11.41', 'E11.42', 'E11.44']""]","['liraglutide', 'sitagliptin', 'metformin', 'liraglutide']","['CN(C)C(=N)NC(N)=N', 'N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=CC(F)=C(F)C=C1F', 'CSCC[C@H](N)C(O)=O', 'CN(C)C(=N)NC(N)=N']","[-0.1441691769182727, -0.09582773645235342, -0.05052258623954824, -0.2162581469350516, -0.08591425182891849, 0.005647078592235678, -0.02146558932627663, 0.13048086998566663, 0.04566406093099965, -0.06661707743707371, 0.07394401285731658, 0.2063216795781694, -0.11251098173753686, 0.0262093012780291, 0.0063997272911232115, -0.0314663568139961, -0.1400214159209216, -0.007711971555941032, 0.10268822937315562, 0.012328605985570009, -0.03771275969616393, -0.03378539966595454, 0.03551256249337336, 0.014380516540525847, -0.04907703161699346, -0.08662602703930025, -0.03308469209609856, 0.020771319655226595, -0.06842590456822661, -0.031348481472245435, 0.008253037950940819, 0.009227300082080754, 0.015245001444616268, -0.03406962873368152, 0.019783157789859132, 0.050966239996139986, 0.009523451615954378, -0.01334465705952877, 0.06748577877199786, -0.010372197249153923, -0.01785232662036757, -0.03987167806423455, 0.0008396072731637474, 0.011959660371297786, 0.03598023995690343, 0.08448526056283241, 0.09148203379147404, -0.023724566153207612, 0.029308459580126338, 0.007863136167041995]"
NCT00703807,completed,,1,phase 1,['endometrial cancer'],"[""['N85.00', 'N85.01', 'N85.02', 'N99.85']""]","['topotecan', 'rad001']","['CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=C(C=CC(O)=C4CN(C)C)N=C13)C2=O', '[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\\C=C(C)\\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\\C=C\\C=C\\C=C(C)\\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC']","[0.2036704115302847, 0.0871743039943781, 0.1689488951503837, -0.036652524643401393, -0.005921747692465931, -0.007021726420072684, -0.01767696926237488, 0.07220347579902583, 0.020356364544392488, 0.02018193249776067, 0.017687812570536275, -0.022116192826997956, -0.016985015684029697, -0.00979641708119062, -0.067273239546421, -0.0983956456898051, 0.062457770931008294, -0.04026389718706985, -0.016573592620593238, 0.07646594708635282, -0.10571095828058419, -0.008653329471212981, 0.07002248111507597, -0.02969645105129872, 0.010555102964823634, 0.01751647376844777, -0.019115833639901204, -0.04037491733448244, 0.016525352237267085, -0.0010362809089600113, -0.006648456053156564, 0.01979732168941297, -0.03281899369007924, -0.04113051361213266, 0.043849161874347176, 0.017359250845181452, -0.022032030280188335, 0.053755064623270433, 0.01639423244458234, 0.012260976998906865, 0.028935093526640282, -0.025612740832503054, -0.05933839172248044, -0.024213259323525842, 0.09418383731247892, 0.0389671555805602, -0.0755197789568343, -0.024333614337841668, 0.09853215590094812, -0.01687055992859446]"
NCT00704405,completed,,1,phase 2,"['hepatitis c, chronic']","[""['B18.2', 'B18.0', 'B18.1', 'B18.8', 'B18.9', 'K71.3', 'K71.4']""]","['vaniprevir', 'pegylated interferon (peg-ifn)', 'ribavirin (rbv)', 'placebo (pbo)']","['[H][C@@]1(CC)C[C@]1(N=C(O)[C@]1([H])C[C@]2([H])CN1C(=O)[C@@]([H])(N=C(O)OCC(C)(C)CCCCC1=C3CN(CC3=CC=C1)C(=O)O2)C(C)(C)C)C(O)=NS(=O)(=O)C1CC1', 'CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1', 'NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O', 'CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O']","[-0.07383537072614033, 0.024450440679486436, -0.016061165466299994, 0.00999095950068422, -0.0702827085524343, 0.0014311840857611237, -0.010521907946349945, -0.08032164375264102, 0.002261166198377909, -0.08534203770309347, 0.0001316299811623892, -0.038189094116536676, -0.1110779195929398, -0.05084001921634618, -0.08832719809284076, 0.001948885693322036, 0.10410550372332047, 0.03725024575086426, 0.06420165336469046, 0.017692579082072463, -0.029073885785044107, 0.008059768058738332, -0.06308624779354824, 0.030612209848194273, -0.020571265596507397, -0.002937738579861704, -0.021176950409557242, 0.04742060062312035, 0.03771430164896643, 0.01737152846059872, 0.06606749506117096, -0.005522238562232983, -0.0055910548109473135, -0.0032580165021160916, 0.034262139954516234, 0.024775305969909144, 0.00945359170684592, -0.02154806261525928, 0.012237665088342916, 0.047045699882267436, 0.047299199462086286, -0.03931628222193762, 0.030082267316031513, -0.04039603651246101, 0.011687286727089524, -0.002140567054168157, 0.031644228934282426, -0.022739977182632033, 0.006384393404667917, -0.040235780218973956]"
NCT00705406,completed,,0,phase 2,"['acute, uncomplicated human influenza']","[""['J47.9', 'A38.9', 'F10.10', 'F10.20', 'F11.10', 'F11.20', 'F12.10']""]","['peramivir', 'placebo']","['[H][C@@]1([C@@H](NC(C)=O)C(CC)CC)[C@H](O)[C@H](C[C@H]1NC(N)=N)C(O)=O', 'CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O']","[-0.12597716384084, 0.07784704165704268, -0.021125192739656802, -0.037095217846952286, -0.01655138597068651, 0.001196359258202709, 0.06284824053575054, -0.04048075557577087, -0.01270820571836534, -0.022053865698529063, -0.0024146496646857826, -0.08082915780563363, 0.012634171854080407, -0.004821717360808037, -0.041722239093591226, 0.009280221555313052, 0.01943480723589882, -0.040075749555422716, -0.009867376083391033, 0.007303406745180724, 0.032102508734046464, -0.003226838263571856, -0.028782247296939494, -0.029685684497119735, -0.017877833453060047, -0.04163107117439155, -0.014667322675090064, -0.05654372513630024, -0.0046043792097769775, 0.018961635180890196, -0.04665285718950684, -0.012355630764298627, -0.0335763658576401, 0.02719755577352036, -0.004081281309159404, 0.008350236399533917, 0.008719827796923981, -0.03491826073798465, -0.0370000981145193, -0.015326829431153956, -0.10841090370635502, -0.07383526409828096, -0.07976113825988629, -0.02900802971508465, 0.02300032297660571, 0.03704430871117302, -0.03610432655796634, 0.04804622869943248, 0.010246542668299686, -0.10685283828571968]"
NCT00708552,completed,,0,phase 2,"[""alzheimer's disease""]","[""['G30.8', 'G30.9', 'G30.0', 'G30.1']""]","['sb-742457', 'donepezil', 'placebo']","['O=S(=O)(C1=CC=CC=C1)C1=CN=C2C(C=CC=C2N2CCNCC2)=C1', 'O=S(=O)(C1=CC=CC=C1)C1=CN=C2C(C=CC=C2N2CCNCC2)=C1', 'CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O']","[-0.16858588544449307, -0.010917866642235586, -0.0435364281988148, 0.1302547546071754, 0.08532376195217858, 0.10286336042318714, -0.0944711516494013, 0.1122345651237781, -0.14914471765437082, -0.007251164119053756, 0.010162136501408774, 0.02422496678886453, 0.06886599965484187, 0.0029530878772218456, 0.04243682640516953, -0.0010505280864913937, 0.06445955948431603, -0.0043307156649609125, 0.025794477363365827, 0.024476454095340057, 0.008936732853707132, -0.005021584762859592, -0.0077824622037187315, 0.0010648270657729031, -0.014245080369715576, -0.007252478012199656, 0.05357926912111659, -0.004168010469037714, 0.016592052059211417, -0.035477194077879595, 0.02842020052351314, 0.01486197816877471, -0.017206725667637885, 0.06302593167189649, -0.010384523732426978, -0.0731570795998695, -0.03432956164536897, 0.013202787808422132, -0.0497934342362089, 0.012830360393823922, -0.04972975728544814, -0.042204998740791165, -0.03179083145298233, 0.01623263115732816, -0.018613558788275936, -0.05037404634276792, 0.04700329123876356, -0.07201942925629626, -0.02660701250221023, -0.007568591192882258]"
NCT00709618,terminated,"
    evolving standard of care practices in this disease setting was limiting enrolment and leading
    to a delay in delivering this study information to the public.
  ",0,phase 2,"['neoplasms, breast']","[""['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']""]","['lapatinib, vinorelbine']",['[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC'],"[0.122290672194901, 0.22508645180161396, -0.05873235174546802, 0.14115377593838013, 0.02382701644290903, 0.1100971491367658, -0.013448241387099857, 0.10493812088871142, -0.015759608295018095, 0.03295892923382278, 0.017389517437572916, 0.019433829905246596, -0.018130102049928477, 0.07062245772425116, 0.017145878407320125, -0.052927413618248244, 0.00971948046646113, -0.01759044020060708, -0.0016104878191294878, 0.055621776234290855, 0.020053646482587492, 0.03066839927634581, -0.053621024345201364, -0.04046346926384896, 0.09847243938739765, -0.02123750083158706, -0.052271991270041895, -0.02198231733017112, -0.0015026668656961304, -0.028293843382637525, -0.003728246258133984, 0.00910372172977748, -0.02588947115835947, 0.05522197960461891, 0.02499524343982161, -0.03796328408467262, 0.030283285729272524, -0.018692134576290674, 0.02738063337222274, 0.016929878703647133, -0.0011015614418019004, 0.011183642768220998, -0.020610484927684237, -0.0018527274567790325, 0.031068143316250664, -0.007201423607869062, -0.02443985252323926, -0.0046537310071981764, 0.024113683556274235, -0.020320774489662026]"
NCT00710554,completed,,1,phase 3,"['pain', 'peripheral neuropathy']","[""['N50.82', 'R07.2', 'R07.82', 'R10.13', 'R10.33', 'R14.1', 'R52']"", ""['G90.09']""]","['sativex', 'placebo']","['[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1', 'CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O']","[-0.19839826769974758, 0.2274074267144198, 0.013224349554867346, 0.058914339577301335, 0.10101560025988436, 0.08493521363187029, 0.029728618996066842, -0.002260328282312478, 0.10611433922185201, 0.06606901780470745, -0.02013445563231875, 0.07083215520803282, 0.03928070582767097, 0.030776596291757934, 0.014422245644264291, -0.0761365936895615, -0.008752452901882337, -0.004336495110237792, 0.012438838508933263, 0.051799609938386185, 0.015226129965810353, -0.01035003711012166, -0.016172267032081678, -0.06468488691512331, -0.010823971815932264, 0.013039289820325994, 0.07206656279355192, 0.03815559802929795, 0.0716446912502598, -0.04052382505021885, 0.02399386786101183, -0.015495324066798105, 0.01958572043785973, 0.03222277357120566, 0.023139237132992256, 0.02693019290464539, -0.0038653355427968523, 0.04298235853668454, -0.0016914128339692671, 0.028183765064506698, -0.013738824969834664, 0.0029385181443471785, 0.017551776632923292, 0.006467028490642612, -0.06505716364231888, -0.03461936997854438, -0.018473609128265504, -0.007500070397519848, -0.005890146251262761, 0.024886842483171252]"
