,studyid,trialOutcome,trialOutcome_label
4902,NCT00287118,"Completed, Positive outcome/primary endpoint(s) met",1
4904,NCT00287183,"Completed, Negative outcome/primary endpoint(s) not met",0
4908,NCT00287586,"Completed, Negative outcome/primary endpoint(s) not met",0
4915,NCT00288015,"Completed, Positive outcome/primary endpoint(s) met",1
4919,NCT00288080,"Completed, Positive outcome/primary endpoint(s) met",1
4929,NCT00288418,"Completed, Positive outcome/primary endpoint(s) met",1
4932,NCT00288561,"Completed, Positive outcome/primary endpoint(s) met",1
4933,NCT00288639,"Completed, Positive outcome/primary endpoint(s) met",1
4934,NCT00288652,"Completed, Negative outcome/primary endpoint(s) not met",0
4935,NCT00288925,"Completed, Positive outcome/primary endpoint(s) met",1
4936,NCT00289016,"Completed, Positive outcome/primary endpoint(s) met",1
4937,NCT00289172,"Completed, Positive outcome/primary endpoint(s) met",1
4938,NCT00289185,"Completed, Positive outcome/primary endpoint(s) met",1
4941,NCT00289484,"Terminated, Poor enrollment",0
4946,NCT00289744,"Completed, Positive outcome/primary endpoint(s) met",1
4951,NCT00289913,"Completed, Positive outcome/primary endpoint(s) met",1
4955,NCT00290017,"Terminated, Lack of efficacy",0
4958,NCT00290121,"Completed, Positive outcome/primary endpoint(s) met",1
4960,NCT00290277,"Completed, Positive outcome/primary endpoint(s) met",1
4961,NCT00290329,"Completed, Positive outcome/primary endpoint(s) met",1
4965,NCT00290498,"Completed, Positive outcome/primary endpoint(s) met",1
4966,NCT00290511,"Completed, Positive outcome/primary endpoint(s) met",1
4969,NCT00290563,"Completed, Positive outcome/primary endpoint(s) met",1
4975,NCT00290771,"Terminated, Lack of efficacy",0
4976,NCT00290914,"Completed, Positive outcome/primary endpoint(s) met",1
4977,NCT00290927,"Completed, Positive outcome/primary endpoint(s) met",1
4978,NCT00290979,"Completed, Positive outcome/primary endpoint(s) met",1
4981,NCT00291343,"Completed, Positive outcome/primary endpoint(s) met",1
4982,NCT00291382,"Completed, Positive outcome/primary endpoint(s) met",1
4985,NCT00291499,"Completed, Positive outcome/primary endpoint(s) met",1
4987,NCT00291616,"Completed, Negative outcome/primary endpoint(s) not met",0
4989,NCT00291668,"Completed, Positive outcome/primary endpoint(s) met",1
4991,NCT00291850,"Terminated, Poor enrollment",0
4992,NCT00291889,"Completed, Positive outcome/primary endpoint(s) met",1
4993,NCT00291902,"Completed, Positive outcome/primary endpoint(s) met",1
4994,NCT00291915,"Completed, Positive outcome/primary endpoint(s) met",1
4995,NCT00291928,"Completed, Positive outcome/primary endpoint(s) met",1
4996,NCT00291941,"Completed, Positive outcome/primary endpoint(s) met",1
4998,NCT00292188,"Completed, Positive outcome/primary endpoint(s) met",1
5002,NCT00292409,"Completed, Positive outcome/primary endpoint(s) met",1
5003,NCT00292422,"Completed, Positive outcome/primary endpoint(s) met",1
5005,NCT00292760,"Completed, Positive outcome/primary endpoint(s) met",1
5008,NCT00292877,"Completed, Positive outcome/primary endpoint(s) met",1
5014,NCT00293150,"Terminated, Poor enrollment",0
5022,NCT00293423,"Completed, Positive outcome/primary endpoint(s) met",1
5032,NCT00294047,"Completed, Positive outcome/primary endpoint(s) met",1
5033,NCT00294112,"Completed, Positive outcome/primary endpoint(s) met",1
5035,NCT00294255,"Completed, Positive outcome/primary endpoint(s) met",1
5042,NCT00294619,"Completed, Positive outcome/primary endpoint(s) met",1
5044,NCT00294736,"Completed, Positive outcome/primary endpoint(s) met",1
5046,NCT00294788,"Terminated, Poor enrollment",0
5048,NCT00294931,"Completed, Positive outcome/primary endpoint(s) met",1
5051,NCT00294996,"Completed, Negative outcome/primary endpoint(s) not met",0
5054,NCT00295061,"Completed, Positive outcome/primary endpoint(s) met",1
5056,NCT00295178,"Completed, Positive outcome/primary endpoint(s) met",1
5057,NCT00295412,"Completed, Positive outcome/primary endpoint(s) met",1
5059,NCT00295477,"Completed, Negative outcome/primary endpoint(s) not met",0
5063,NCT00295581,"Terminated, Safety/adverse effects",0
5066,NCT00295620,"Completed, Negative outcome/primary endpoint(s) not met",0
5068,NCT00295646,"Completed, Positive outcome/primary endpoint(s) met",1
5070,NCT00295685,"Completed, Positive outcome/primary endpoint(s) met",1
5071,NCT00295724,"Terminated, Lack of efficacy",0
5073,NCT00295763,"Completed, Positive outcome/primary endpoint(s) met",1
5075,NCT00295815,"Terminated, Lack of efficacy",0
5076,NCT00295841,"Completed, Positive outcome/primary endpoint(s) met",1
5078,NCT00295880,"Terminated, Lack of efficacy",0
5084,NCT00296153,"Completed, Positive outcome/primary endpoint(s) met",1
5092,NCT00296491,"Completed, Positive outcome/primary endpoint(s) met",1
5095,NCT00296530,"Completed, Positive outcome/primary endpoint(s) met",1
5100,NCT00296894,"Completed, Positive outcome/primary endpoint(s) met",1
5101,NCT00296933,"Completed, Positive outcome/primary endpoint(s) met",1
5110,NCT00297193,"Terminated, Safety/adverse effects",0
5112,NCT00297258,"Completed, Positive outcome/primary endpoint(s) met",1
5113,NCT00297310,"Completed, Positive outcome/primary endpoint(s) met",1
5117,NCT00297648,"Completed, Positive outcome/primary endpoint(s) met",1
5118,NCT00297687,"Completed, Positive outcome/primary endpoint(s) met",1
5119,NCT00297778,"Completed, Positive outcome/primary endpoint(s) met",1
5132,NCT00298415,"Completed, Positive outcome/primary endpoint(s) met",1
5138,NCT00298597,"Completed, Negative outcome/primary endpoint(s) not met",0
5150,NCT00299221,"Completed, Positive outcome/primary endpoint(s) met",1
5151,NCT00299234,"Terminated, Poor enrollment",0
5156,NCT00299494,"Completed, Positive outcome/primary endpoint(s) met",1
5161,NCT00299702,"Completed, Negative outcome/primary endpoint(s) not met",0
5166,NCT00299923,"Completed, Positive outcome/primary endpoint(s) met",1
5169,NCT00300053,"Completed, Positive outcome/primary endpoint(s) met",1
5170,NCT00300079,"Completed, Positive outcome/primary endpoint(s) met",1
5188,NCT00300846,"Completed, Positive outcome/primary endpoint(s) met",1
5190,NCT00300950,"Completed, Negative outcome/primary endpoint(s) not met",0
5195,NCT00301184,"Completed, Positive outcome/primary endpoint(s) met",1
5197,NCT00301366,"Completed, Positive outcome/primary endpoint(s) met",1
5199,NCT00301418,"Completed, Negative outcome/primary endpoint(s) not met",0
5200,NCT00301431,"Terminated, Lack of efficacy",0
5201,NCT00301457,"Completed, Negative outcome/primary endpoint(s) not met",0
5206,NCT00301795,"Terminated, Poor enrollment",0
5212,NCT00301925,"Completed, Positive outcome/primary endpoint(s) met",1
5215,NCT00301964,"Completed, Positive outcome/primary endpoint(s) met",1
5216,NCT00301990,"Completed, Positive outcome/primary endpoint(s) met",1
5217,NCT00302003,"Completed, Positive outcome/primary endpoint(s) met",1
5221,NCT00302172,"Completed, Positive outcome/primary endpoint(s) met",1
5226,NCT00302419,"Terminated, Lack of efficacy",0
5227,NCT00302445,"Completed, Positive outcome/primary endpoint(s) met",1
5231,NCT00302653,"Completed, Positive outcome/primary endpoint(s) met",1
5237,NCT00303069,"Completed, Positive outcome/primary endpoint(s) met",1
5245,NCT00303459,"Completed, Negative outcome/primary endpoint(s) not met",0
5246,NCT00303472,"Completed, Positive outcome/primary endpoint(s) met",1
5247,NCT00303498,"Completed, Positive outcome/primary endpoint(s) met",1
5252,NCT00303628,"Terminated, Poor enrollment",0
5266,NCT00304031,"Completed, Negative outcome/primary endpoint(s) not met",0
5267,NCT00304083,"Terminated, Poor enrollment",0
5270,NCT00304226,"Completed, Positive outcome/primary endpoint(s) met",1
5272,NCT00304278,"Completed, Positive outcome/primary endpoint(s) met",1
5278,NCT00304590,"Terminated, Safety/adverse effects",0
5279,NCT00304655,"Completed, Positive outcome/primary endpoint(s) met",1
5282,NCT00304746,"Completed, Negative outcome/primary endpoint(s) not met",0
5283,NCT00304785,"Completed, Negative outcome/primary endpoint(s) not met",0
5289,NCT00305162,"Terminated, Lack of efficacy",0
5291,NCT00305201,"Terminated, Poor enrollment",0
5296,NCT00305474,"Completed, Positive outcome/primary endpoint(s) met",1
5305,NCT00305942,"Completed, Negative outcome/primary endpoint(s) not met",0
5312,NCT00306215,"Completed, Positive outcome/primary endpoint(s) met",1
5313,NCT00306241,"Completed, Positive outcome/primary endpoint(s) met",1
5316,NCT00306332,"Terminated, Lack of efficacy",0
5318,NCT00306488,"Completed, Negative outcome/primary endpoint(s) not met",0
5330,NCT00307034,"Completed, Positive outcome/primary endpoint(s) met",1
5337,NCT00307398,"Terminated, Lack of efficacy",0
5340,NCT00307450,"Completed, Positive outcome/primary endpoint(s) met",1
5343,NCT00307554,"Completed, Positive outcome/primary endpoint(s) met",1
5344,NCT00307567,"Completed, Positive outcome/primary endpoint(s) met",1
5350,NCT00307853,"Terminated, Poor enrollment",0
5351,NCT00307879,"Terminated, Safety/adverse effects",0
5353,NCT00307892,"Terminated, Poor enrollment",0
5355,NCT00307931,"Terminated, Poor enrollment",0
5358,NCT00308204,"Terminated, Poor enrollment",0
5364,NCT00308464,"Terminated, Safety/adverse effects",0
5368,NCT00308581,"Completed, Positive outcome/primary endpoint(s) met",1
5375,NCT00308893,"Completed, Positive outcome/primary endpoint(s) met",1
5382,NCT00309166,"Completed, Positive outcome/primary endpoint(s) met",1
5383,NCT00309179,"Completed, Negative outcome/primary endpoint(s) not met",0
5390,NCT00309530,"Terminated, Lack of efficacy",0
5391,NCT00309530,"Terminated, Safety/adverse effects",0
5392,NCT00309543,"Terminated, Poor enrollment",0
5395,NCT00309621,"Completed, Positive outcome/primary endpoint(s) met",1
5412,NCT00310180,"Completed, Positive outcome/primary endpoint(s) met",1
5419,NCT00310492,"Completed, Negative outcome/primary endpoint(s) not met",0
5420,NCT00310531,"Completed, Positive outcome/primary endpoint(s) met",1
5421,NCT00310648,"Completed, Positive outcome/primary endpoint(s) met",1
5422,NCT00310765,"Terminated, Poor enrollment",0
5427,NCT00311155,"Completed, Positive outcome/primary endpoint(s) met",1
5431,NCT00311376,"Completed, Positive outcome/primary endpoint(s) met",1
5435,NCT00311480,"Completed, Positive outcome/primary endpoint(s) met",1
5440,NCT00311610,"Completed, Negative outcome/primary endpoint(s) not met",0
5449,NCT00312286,"Terminated, Lack of efficacy",0
5460,NCT00312754,"Terminated, Poor enrollment",0
5465,NCT00312858,"Completed, Positive outcome/primary endpoint(s) met",1
5466,NCT00312871,"Terminated, Safety/adverse effects",0
5468,NCT00312975,"Completed, Negative outcome/primary endpoint(s) not met",0
5477,NCT00313300,"Completed, Positive outcome/primary endpoint(s) met",1
5484,NCT00313547,"Terminated, Poor enrollment",0
5487,NCT00313690,"Terminated, Poor enrollment",0
5490,NCT00313794,"Completed, Negative outcome/primary endpoint(s) not met",0
5491,NCT00313820,"Completed, Negative outcome/primary endpoint(s) not met",0
5494,NCT00313911,"Completed, Positive outcome/primary endpoint(s) met",1
5496,NCT00313950,"Completed, Positive outcome/primary endpoint(s) met",1
5503,NCT00314327,"Terminated, Poor enrollment",0
5513,NCT00314938,"Terminated, Safety/adverse effects",0
5523,NCT00315211,"Terminated, Poor enrollment",0
5531,NCT00315640,"Completed, Positive outcome/primary endpoint(s) met",1
5534,NCT00315744,"Completed, Positive outcome/primary endpoint(s) met",1
5539,NCT00316160,"Completed, Positive outcome/primary endpoint(s) met",1
5546,NCT00316264,"Completed, Positive outcome/primary endpoint(s) met",1
5553,NCT00316602,"Completed, Positive outcome/primary endpoint(s) met",1
5554,NCT00316693,"Completed, Positive outcome/primary endpoint(s) met",1
5559,NCT00316810,"Completed, Positive outcome/primary endpoint(s) met",1
5563,NCT00316888,"Completed, Negative outcome/primary endpoint(s) not met",0
5566,NCT00317031,"Completed, Negative outcome/primary endpoint(s) not met",0
5570,NCT00317109,"Completed, Positive outcome/primary endpoint(s) met",1
5571,NCT00317122,"Completed, Positive outcome/primary endpoint(s) met",1
5584,NCT00317941,"Completed, Positive outcome/primary endpoint(s) met",1
5586,NCT00318110,"Terminated, Poor enrollment",0
5589,NCT00318162,"Terminated, Poor enrollment",0
5592,NCT00318370,"Completed, Positive outcome/primary endpoint(s) met",1
5593,NCT00318552,"Completed, Positive outcome/primary endpoint(s) met",1
5596,NCT00318656,"Completed, Negative outcome/primary endpoint(s) not met",0
5597,NCT00318669,"Completed, Positive outcome/primary endpoint(s) met",1
5598,NCT00318747,"Terminated, Poor enrollment",0
5601,NCT00319137,"Completed, Negative outcome/primary endpoint(s) not met",0
5602,NCT00319150,"Terminated, Poor enrollment",0
5603,NCT00319202,"Terminated, Poor enrollment",0
5607,NCT00319358,"Completed, Positive outcome/primary endpoint(s) met",1
5608,NCT00319449,"Completed, Positive outcome/primary endpoint(s) met",1
5609,NCT00319501,"Completed, Positive outcome/primary endpoint(s) met",1
5612,NCT00319683,"Terminated, Safety/adverse effects",0
5613,NCT00319709,"Completed, Negative outcome/primary endpoint(s) not met",0
5618,NCT00319917,"Completed, Positive outcome/primary endpoint(s) met",1
5627,NCT00320281,"Completed, Negative outcome/primary endpoint(s) not met",0
5642,NCT00320788,"Completed, Positive outcome/primary endpoint(s) met",1
5649,NCT00321152,"Completed, Negative outcome/primary endpoint(s) not met",0
5651,NCT00321334,"Terminated, Poor enrollment",0
5656,NCT00321464,"Completed, Positive outcome/primary endpoint(s) met",1
5659,NCT00321620,"Completed, Positive outcome/primary endpoint(s) met",1
5666,NCT00321763,"Completed, Positive outcome/primary endpoint(s) met",1
5671,NCT00321854,"Completed, Negative outcome/primary endpoint(s) not met",0
5672,NCT00321906,"Terminated, Lack of efficacy",0
5673,NCT00321906,"Terminated, Safety/adverse effects",0
5682,NCT00322231,"Completed, Positive outcome/primary endpoint(s) met",1
5685,NCT00322361,"Completed, Positive outcome/primary endpoint(s) met",1
5687,NCT00322400,"Completed, Positive outcome/primary endpoint(s) met",1
5691,NCT00322517,"Completed, Negative outcome/primary endpoint(s) not met",0
5694,NCT00322621,"Completed, Positive outcome/primary endpoint(s) met",1
5695,NCT00322673,"Terminated, Safety/adverse effects",0
5696,NCT00322764,"Completed, Positive outcome/primary endpoint(s) met",1
5700,NCT00322985,"Completed, Positive outcome/primary endpoint(s) met",1
5707,NCT00323297,"Completed, Negative outcome/primary endpoint(s) not met",0
5710,NCT00323492,"Completed, Positive outcome/primary endpoint(s) met",1
5711,NCT00323570,"Terminated, Lack of efficacy",0
5718,NCT00323882,"Completed, Positive outcome/primary endpoint(s) met",1
5720,NCT00324038,"Completed, Positive outcome/primary endpoint(s) met",1
5721,NCT00324077,"Terminated, Poor enrollment",0
5728,NCT00324415,"Completed, Negative outcome/primary endpoint(s) not met",0
5730,NCT00324558,"Terminated, Poor enrollment",0
5732,NCT00324649,"Completed, Positive outcome/primary endpoint(s) met",1
5733,NCT00324688,"Completed, Positive outcome/primary endpoint(s) met",1
5737,NCT00324779,"Completed, Positive outcome/primary endpoint(s) met",1
5738,NCT00324805,"Terminated, Lack of efficacy",0
5742,NCT00324961,"Completed, Positive outcome/primary endpoint(s) met",1
5744,NCT00324987,"Terminated, Poor enrollment",0
5746,NCT00325078,"Terminated, Poor enrollment",0
5747,NCT00325130,"Completed, Positive outcome/primary endpoint(s) met",1
5748,NCT00325143,"Completed, Positive outcome/primary endpoint(s) met",1
5749,NCT00325182,"Completed, Positive outcome/primary endpoint(s) met",1
5757,NCT00325468,"Completed, Positive outcome/primary endpoint(s) met",1
5758,NCT00325507,"Completed, Positive outcome/primary endpoint(s) met",1
5763,NCT00325676,"Completed, Positive outcome/primary endpoint(s) met",1
5764,NCT00325689,"Completed, Positive outcome/primary endpoint(s) met",1
5767,NCT00325806,"Completed, Positive outcome/primary endpoint(s) met",1
5769,NCT00325949,"Completed, Positive outcome/primary endpoint(s) met",1
5774,NCT00326118,"Completed, Positive outcome/primary endpoint(s) met",1
5777,NCT00326183,"Completed, Positive outcome/primary endpoint(s) met",1
5780,NCT00326326,"Completed, Positive outcome/primary endpoint(s) met",1
5792,NCT00326976,"Completed, Negative outcome/primary endpoint(s) not met",0
5796,NCT00327119,"Completed, Positive outcome/primary endpoint(s) met",1
5801,NCT00327340,"Completed, Positive outcome/primary endpoint(s) met",1
5803,NCT00327418,"Completed, Early positive outcome",1
5805,NCT00327470,"Completed, Early positive outcome",1
5806,NCT00327535,"Terminated, Safety/adverse effects",0
5810,NCT00327665,"Completed, Negative outcome/primary endpoint(s) not met",0
5811,NCT00327678,"Completed, Positive outcome/primary endpoint(s) met",1
5814,NCT00327730,"Completed, Positive outcome/primary endpoint(s) met",1
5830,NCT00328965,"Completed, Positive outcome/primary endpoint(s) met",1
5834,NCT00329056,"Completed, Negative outcome/primary endpoint(s) not met",0
5836,NCT00329108,"Terminated, Poor enrollment",0
5838,NCT00329160,"Completed, Positive outcome/primary endpoint(s) met",1
5841,NCT00329303,"Completed, Negative outcome/primary endpoint(s) not met",0
5842,NCT00329381,"Completed, Positive outcome/primary endpoint(s) met",1
5850,NCT00329550,"Completed, Positive outcome/primary endpoint(s) met",1
5852,NCT00329602,"Completed, Positive outcome/primary endpoint(s) met",1
5857,NCT00329745,"Completed, Positive outcome/primary endpoint(s) met",1
5858,NCT00329797,"Terminated, Poor enrollment",0
5859,NCT00329810,"Completed, Positive outcome/primary endpoint(s) met",1
5860,NCT00329849,"Completed, Positive outcome/primary endpoint(s) met",1
5861,NCT00329901,"Completed, Positive outcome/primary endpoint(s) met",1
5862,NCT00330044,"Completed, Positive outcome/primary endpoint(s) met",1
5863,NCT00330135,"Terminated, Lack of efficacy",0
5867,NCT00330200,"Terminated, Poor enrollment",0
5869,NCT00330291,"Terminated, Poor enrollment",0
5874,NCT00330499,"Terminated, Poor enrollment",0
5876,NCT00330616,"Completed, Positive outcome/primary endpoint(s) met",1
5877,NCT00330668,"Terminated, Safety/adverse effects",0
5880,NCT00330759,"Completed, Positive outcome/primary endpoint(s) met",1
5883,NCT00330915,"Completed, Positive outcome/primary endpoint(s) met",1
5886,NCT00331058,"Terminated, Poor enrollment",0
5891,NCT00331435,"Completed, Positive outcome/primary endpoint(s) met",1
5892,NCT00331526,"Completed, Positive outcome/primary endpoint(s) met",1
5899,NCT00331786,"Terminated, Safety/adverse effects",0
5902,NCT00331981,"Completed, Positive outcome/primary endpoint(s) met",1
5903,NCT00331994,"Completed, Negative outcome/primary endpoint(s) not met",0
5912,NCT00332280,"Terminated, Lack of efficacy",0
5915,NCT00332332,"Completed, Positive outcome/primary endpoint(s) met",1
5922,NCT00332761,"Completed, Positive outcome/primary endpoint(s) met",1
5924,NCT00332839,"Terminated, Poor enrollment",0
5926,NCT00332891,"Completed, Positive outcome/primary endpoint(s) met",1
5934,NCT00333177,"Completed, Negative outcome/primary endpoint(s) not met",0
5936,NCT00333229,"Terminated, Poor enrollment",0
5942,NCT00333424,"Terminated, Lack of efficacy",0
5944,NCT00333450,"Completed, Positive outcome/primary endpoint(s) met",1
5946,NCT00333476,"Terminated, Poor enrollment",0
5952,NCT00334035,"Completed, Positive outcome/primary endpoint(s) met",1
5954,NCT00334139,"Completed, Positive outcome/primary endpoint(s) met",1
5955,NCT00334243,"Terminated, Poor enrollment",0
5958,NCT00334334,"Completed, Positive outcome/primary endpoint(s) met",1
5959,NCT00334386,"Completed, Positive outcome/primary endpoint(s) met",1
5960,NCT00334399,"Completed, Positive outcome/primary endpoint(s) met",1
5963,NCT00334594,"Terminated, Poor enrollment",0
5964,NCT00334607,"Completed, Positive outcome/primary endpoint(s) met",1
5967,NCT00334737,"Completed, Positive outcome/primary endpoint(s) met",1
5970,NCT00334815,"Terminated, Poor enrollment",0
5971,NCT00334815,"Terminated, Safety/adverse effects",0
5976,NCT00334906,"Completed, Negative outcome/primary endpoint(s) not met",0
5981,NCT00335140,"Terminated, Poor enrollment",0
5983,NCT00335166,"Completed, Positive outcome/primary endpoint(s) met",1
5987,NCT00335374,"Completed, Negative outcome/primary endpoint(s) not met",0
5989,NCT00335465,"Completed, Negative outcome/primary endpoint(s) not met",0
5992,NCT00335569,"Completed, Positive outcome/primary endpoint(s) met",1
5993,NCT00335595,"Completed, Positive outcome/primary endpoint(s) met",1
5998,NCT00335673,"Completed, Negative outcome/primary endpoint(s) not met",0
5999,NCT00335686,"Completed, Positive outcome/primary endpoint(s) met",1
6000,NCT00335699,"Completed, Positive outcome/primary endpoint(s) met",1
6002,NCT00335777,"Completed, Negative outcome/primary endpoint(s) not met",0
6007,NCT00335894,"Completed, Positive outcome/primary endpoint(s) met",1
6009,NCT00336024,"Completed, Negative outcome/primary endpoint(s) not met",0
6016,NCT00336414,"Terminated, Poor enrollment",0
6017,NCT00336453,"Completed, Positive outcome/primary endpoint(s) met",1
6019,NCT00336492,"Completed, Positive outcome/primary endpoint(s) met",1
6025,NCT00336843,"Completed, Positive outcome/primary endpoint(s) met",1
6030,NCT00336986,"Completed, Positive outcome/primary endpoint(s) met",1
6042,NCT00337207,"Completed, Negative outcome/primary endpoint(s) not met",0
6046,NCT00337272,"Terminated, Poor enrollment",0
6049,NCT00337389,"Terminated, Poor enrollment",0
6051,NCT00337428,"Completed, Positive outcome/primary endpoint(s) met",1
6053,NCT00337493,"Completed, Positive outcome/primary endpoint(s) met",1
6055,NCT00337558,"Completed, Positive outcome/primary endpoint(s) met",1
6058,NCT00337662,"Completed, Positive outcome/primary endpoint(s) met",1
6062,NCT00337883,"Terminated, Lack of efficacy",0
6071,NCT00338286,"Completed, Negative outcome/primary endpoint(s) not met",0
6073,NCT00338351,"Completed, Positive outcome/primary endpoint(s) met",1
6075,NCT00338468,"Terminated, Poor enrollment",0
6081,NCT00338728,"Completed, Positive outcome/primary endpoint(s) met",1
6083,NCT00338897,"Completed, Positive outcome/primary endpoint(s) met",1
6085,NCT00338988,"Completed, Negative outcome/primary endpoint(s) not met",0
6089,NCT00339586,"Completed, Positive outcome/primary endpoint(s) met",1
6096,NCT00342940,"Terminated, Poor enrollment",0
6099,NCT00343083,"Completed, Positive outcome/primary endpoint(s) met",1
6102,NCT00343174,"Terminated, Lack of efficacy",0
6107,NCT00343421,"Completed, Positive outcome/primary endpoint(s) met",1
6110,NCT00343486,"Completed, Positive outcome/primary endpoint(s) met",1
6111,NCT00343499,"Terminated, Poor enrollment",0
6124,NCT00343915,"Completed, Positive outcome/primary endpoint(s) met",1
6126,NCT00344019,"Terminated, Poor enrollment",0
6127,NCT00344032,"Completed, Positive outcome/primary endpoint(s) met",1
6134,NCT00344318,"Completed, Positive outcome/primary endpoint(s) met",1
6137,NCT00344448,"Terminated, Safety/adverse effects",0
6140,NCT00344513,"Completed, Positive outcome/primary endpoint(s) met",1
6142,NCT00344682,"Completed, Negative outcome/primary endpoint(s) not met",0
6144,NCT00344773,"Completed, Positive outcome/primary endpoint(s) met",1
6149,NCT00345098,"Completed, Positive outcome/primary endpoint(s) met",1
6150,NCT00345163,"Completed, Positive outcome/primary endpoint(s) met",1
6160,NCT00345670,"Completed, Positive outcome/primary endpoint(s) met",1
6168,NCT00345878,"Completed, Positive outcome/primary endpoint(s) met",1
6169,NCT00345956,"Completed, Positive outcome/primary endpoint(s) met",1
6177,NCT00346164,"Completed, Positive outcome/primary endpoint(s) met",1
6180,NCT00346216,"Completed, Positive outcome/primary endpoint(s) met",1
6182,NCT00346255,"Completed, Positive outcome/primary endpoint(s) met",1
6183,NCT00346281,"Completed, Positive outcome/primary endpoint(s) met",1
6185,NCT00346385,"Completed, Positive outcome/primary endpoint(s) met",1
6190,NCT00346697,"Completed, Positive outcome/primary endpoint(s) met",1
6191,NCT00346749,"Terminated, Poor enrollment",0
6193,NCT00347009,"Completed, Positive outcome/primary endpoint(s) met",1
6197,NCT00347087,"Completed, Positive outcome/primary endpoint(s) met",1
6207,NCT00347672,"Completed, Positive outcome/primary endpoint(s) met",1
6211,NCT00348192,"Completed, Positive outcome/primary endpoint(s) met",1
6213,NCT00348283,"Completed, Positive outcome/primary endpoint(s) met",1
6219,NCT00348595,"Completed, Positive outcome/primary endpoint(s) met",1
6221,NCT00348686,"Completed, Positive outcome/primary endpoint(s) met",1
6229,NCT00349037,"Completed, Positive outcome/primary endpoint(s) met",1
6230,NCT00349076,"Completed, Positive outcome/primary endpoint(s) met",1
6236,NCT00349271,"Terminated, Poor enrollment",0
6238,NCT00349349,"Completed, Positive outcome/primary endpoint(s) met",1
6244,NCT00349505,"Terminated, Safety/adverse effects",0
6249,NCT00349752,"Terminated, Poor enrollment",0
6250,NCT00349934,"Completed, Positive outcome/primary endpoint(s) met",1
6252,NCT00350025,"Completed, Positive outcome/primary endpoint(s) met",1
6255,NCT00350298,"Completed, Positive outcome/primary endpoint(s) met",1
6256,NCT00350337,"Completed, Positive outcome/primary endpoint(s) met",1
6259,NCT00350519,"Terminated, Poor enrollment",0
6263,NCT00350727,"Completed, Negative outcome/primary endpoint(s) not met",0
6265,NCT00350766,"Terminated, Poor enrollment",0
6270,NCT00350857,"Completed, Positive outcome/primary endpoint(s) met",1
6272,NCT00351000,"Completed, Negative outcome/primary endpoint(s) not met",0
6275,NCT00351130,"Completed, Positive outcome/primary endpoint(s) met",1
6276,NCT00351143,"Completed, Positive outcome/primary endpoint(s) met",1
6282,NCT00351403,"Completed, Positive outcome/primary endpoint(s) met",1
6284,NCT00351767,"Completed, Negative outcome/primary endpoint(s) not met",0
6289,NCT00351936,"Completed, Positive outcome/primary endpoint(s) met",1
6290,NCT00351949,"Completed, Positive outcome/primary endpoint(s) met",1
6295,NCT00352092,"Completed, Positive outcome/primary endpoint(s) met",1
6304,NCT00352521,"Completed, Positive outcome/primary endpoint(s) met",1
6306,NCT00352612,"Completed, Negative outcome/primary endpoint(s) not met",0
6311,NCT00352768,"Terminated, Poor enrollment",0
6314,NCT00352833,"Completed, Positive outcome/primary endpoint(s) met",1
6316,NCT00352859,"Terminated, Poor enrollment",0
6323,NCT00353145,"Terminated, Poor enrollment",0
6326,NCT00353327,"Terminated, Poor enrollment",0
6328,NCT00353379,"Terminated, Poor enrollment",0
6329,NCT00353418,"Completed, Negative outcome/primary endpoint(s) not met",0
6341,NCT00354120,"Completed, Positive outcome/primary endpoint(s) met",1
6348,NCT00354406,"Completed, Negative outcome/primary endpoint(s) not met",0
6349,NCT00354445,"Completed, Positive outcome/primary endpoint(s) met",1
6352,NCT00354536,"Completed, Positive outcome/primary endpoint(s) met",1
6358,NCT00354679,"Completed, Positive outcome/primary endpoint(s) met",1
6360,NCT00354822,"Terminated, Poor enrollment",0
6361,NCT00354835,"Completed, Negative outcome/primary endpoint(s) not met",0
6365,NCT00354926,"Completed, Positive outcome/primary endpoint(s) met",1
6372,NCT00355199,"Completed, Positive outcome/primary endpoint(s) met",1
6374,NCT00355238,"Completed, Positive outcome/primary endpoint(s) met",1
6384,NCT00355654,"Completed, Positive outcome/primary endpoint(s) met",1
6388,NCT00356096,"Completed, Positive outcome/primary endpoint(s) met",1
6393,NCT00356369,"Completed, Positive outcome/primary endpoint(s) met",1
6394,NCT00356408,"Completed, Positive outcome/primary endpoint(s) met",1
6397,NCT00356460,"Completed, Positive outcome/primary endpoint(s) met",1
6401,NCT00356616,"Completed, Positive outcome/primary endpoint(s) met",1
6404,NCT00356915,"Completed, Positive outcome/primary endpoint(s) met",1
6413,NCT00357253,"Completed, Negative outcome/primary endpoint(s) not met",0
6422,NCT00357656,"Completed, Positive outcome/primary endpoint(s) met",1
6423,NCT00357669,"Completed, Negative outcome/primary endpoint(s) not met",0
6424,NCT00357682,"Completed, Positive outcome/primary endpoint(s) met",1
6426,NCT00357760,"Completed, Positive outcome/primary endpoint(s) met",1
6428,NCT00357825,"Completed, Positive outcome/primary endpoint(s) met",1
6433,NCT00358293,"Completed, Positive outcome/primary endpoint(s) met",1
6437,NCT00358449,"Completed, Positive outcome/primary endpoint(s) met",1
6438,NCT00358475,"Completed, Positive outcome/primary endpoint(s) met",1
6440,NCT00358566,"Terminated, Lack of efficacy",0
6443,NCT00358670,"Terminated, Safety/adverse effects",0
